project_id,title,description,operating_unit,budget,expense
83123,Enhancing the Forest Nature Reserves Network,Enhancing the Forest Nature Reserves Network for Biodiversity Conservations in Tanzania.,United Republic of Tanzania,507625,478060
89405,Engagement Facility Project,Dominican Republic United Nations Development Programme - Engagement Facility Project,Dominican Republic,506678,116774
102125,Capacity Building for Transparency,Strengthening national capacities to meet the transparency requirements of the Paris Agreement,North Macedonia,505967,107040
105424,Adaptation planning Serbia NAP,Advancing medium and long-term adaptation planning in the Republic of Serbia (GCF Readiness Programme),Serbia,505582,242610
77798,AMERINDIAN LAND TITLING PROJECT,The project seeks to enable Amerindians to secure their lands and natural resources with a view towards sustainable social and economic development.,Guyana,505570,198760
117861,Généralisation Police de Proximité,Contribute to the efforts on preventing violent extremism in Medenine through Community policing,Tunisia,505493,428018
96326,Greek Border Phase II,"To contribute into the prevention of irregular migration, human trafficking, cross border crimes, and smuggling and ensure further development and implementation of border management and standards.",Turkey,505478,378721
92590,STAR 2 - COnsolidation of the Territorial and Administrative Reform,The project is developed in line and continuity of the results of its predecessor STAR as well as in complementarity with the assistance of various partners for strengthening the institutional and administrative capacities at local level.,Albania,505417,597164
119366,Transitioning to sustainable energy uses for the agro-in,Transitioning to Sustainable Energy Uses in the Agro-Industry to enhance energy savings and reduce Green House Gas emission.,Sri Lanka,504952,61327
104314,Rakhine Area Base Project Phase III,"The Project for Strengthening Recovery and Development Assistance
in Support of Durable Solutions in Rakhine and Kachin States",Myanmar,504875,0
117944,Programa Maya Fase III,"El Programa busca consolidar el enfoque basado en derechos humanos  y los resultados obtenidos en las fases anteriores, orientadas hacia cambios estructurales",Guatemala,504603,287642
107209,Sustainable Urbanization,To assist the Greater Amman Municipality (GAM)  improve the quality of life for its citizens and comply with the National Energy Efficiency Action Plan (NEEAP) via support for more sustainable resource-efficient urban planning .,Jordan,504292,271323
95423,Fight Against Malaria NFM,Contribute to reducing malaria-related morbidity and mortality. in Guinea-Bissau.,Guinea-Bissau,504187,-109842
92245,Rule of Law and Constitutional Democracy (RLCD),"RLCD programme will support GoU through legal reforms and practices to realize an independent credible Electoral Commission; effective accessible justice system; and full respect of human rights of Ugandans including women, youth and marginalized groups",Uganda,503800,280153
129095,Support to Implementation of the Justice Sector Reforms,"The project supports implementation of justice sector reforms for transformation, peace and prosperity in Lesotho. It deploys foreign judges to ensure impartial, and expeditious disposal of high-profile security sector related criminal cases.",Lesotho,503281,225176
117973,MINEC and African Union Treaties,Support to Country Coordination Monitoring and Accelerating Ratification and Domestication of African Union Treaties by Mozambique,Mozambique,502652,169144
118056,Santo Domingo Transparente,"Acompaña institucional y operativamente a la Alcaldía del Distrito Nacional en la transformación de sus áreas neurálgicas, con miras a fortalecer la institución e instaurar una metodología de gestión transparente y basada en resultados.",Dominican Republic,502126,5137
110554,Economic Diversification and Private Sector Development,"The project will provide technical assistance to Angola’s economic diversification through capacity development for MSMEs, skill development and entrepreneurship, focus on young entrepreneurs and policy advisory and advocacy for business environment.",Angola,501918,172931
110325,Support to SDG implementation,"The project aims to support the national mechanisms for SDG coordination, implementation, monitoring and reporting.",Mongolia,501372,119517
120246,State of Arab Cities Report 2020,The State of the Regions’ Cities report series started in response to a request by UN-Habitat’s Governing Council to prepare analytical reports that reflect regional specificities in achieving sustainable human settlements development.,Bahrain,501209,88696
110369,VIGILANCIA MARINA EN CUBA,VIGILANCIA MARINA EN CUBA - Fortalecimiento del Sistema Meteorológico Marino Cubano (Vigilancia Marina),Cuba,501099,2770
96253,FSP-Strengthening PA system in Qinghai,This project is to strengthen the PA system in the Qilian Mountains-Qinghai Lake landscape,China,500976,275266
122662,TRANSCENDING PEACE & SECURITY,TRANSCENDING FOUNDATIONS OF PEACE AND SECURITY FOR INCLUSIVE AND SUSTAINABLE DEVELOPMENT IN KENYA 2019-2023,Kenya,500001,90249
120484,Youth for Social Harmony in the Fergana Valley,"Using a development and peacebuilding approach firmly grounded within human rights principles, which requires attention to institutions, political and religious ideologies and people and promotion of human rights based approaches.",Uzbekistan,500000,71966
122453,Iraq Social Cohesion Programme,Improve the enabling environment for peace and social cohesion in Iraq through a multi-pronged intervention,Iraq,500000,3214
126672,Partenariat Strategique,"Le projet vise la prise en compte toutes les specifies liees a la mise en œuvre du CPD, y compris le developpement de partenariats strategiques prise en compte des thematiques transversales et les besoins programmatiques.",Burundi,500000,168497
129744,"Empower, Digitize & Globalize Entrep, for Ethio Transfor","The JCC is targeting the creation of 14 million jobs in Ethiopia by 2025 and 20 million by 2030. Jobs in the digital economy are expected to rise by 62% by 2030, with the creation of 2 million indirect jobs by 2030.",Ethiopia,500000,9428
130749,HS & SD - Saint Lucia,"Human Security and Sustainable Development - a COVID 19 response, Saint Lucia",Spcl Unit for South South Coop,500000,0
113597,Sustainable tourism,Support to Entrepreneurship Development in the Tourism Industry at the Local Level in the Republic of Belarus,"Belarus, Republic of",499426,217169
110061,Tackling Air Pollution,The project aims to demonstrate a multi-pronged intervention to tackle air pollution in the City of Skopje linked to the residential sector.,North Macedonia,499049,45614
111060,Enhancing Resilience of Agricultural Landscapes & Value,Enhancing Resilience of Agriculture landscape and value chains in Uganda,Uganda,498475,100963
104945,NAP-2,To reduce climate change related risks throughout Moldova by strengthening institutional and technical capacities that support integrated climate change adaptation planning and programming.,"Moldova, Republic of",497446,0
102636,Implementing Zimbabwe’s Nationally Determined Contribut,To contribute to the low emission development pathway for Zimbabwe through implementation of a robust Nationally Determined Contributions (NDCs) actions to address gaps in Zimbabwe's mitigation agenda and meet national emission reduction targets.,Zimbabwe,497415,367460
129123,Human Security and Sustainable Development COVID 19,Procurement of Health Supplies and Equipment for the Government of Saint Lucia.  This forms part of the signed Memorandum for Provision of Management and Other Support Services,St. Lucia,496053,447991
118831,Accelerator Lab-Lebanon,The Lebanon Accelerator Lab is a country-level engagement facility project that is managed under one global project portfolio for better results integration,Lebanon,495817,316566
125335,Maritime Disaster Management and Response,Capacity Building for Maritime Disaster Management and Response to Peace and Security threats within Kenya,Kenya,495050,20180
106654,Enhancing Youth Resilience for Social Stabilization and,Enhancing Youth Resilience for Social Stabilization and Prevention of Violent Extremism in Djibouti,Djibouti,495049,130486
89905,"appui a la planification, la coordination, au suivi et l'evaluation de la mise en oevre du plan prioritaire de consolidation de la paix",Renforcement des capacités de planification et la coordination des interventions d'appui à la consolidation de la paix,Côte d’Ivoire,493544,373075
101032,Sixth Operational Phase of the Global Environment Facility Small Grants Programme in Bolivia,Programa de Pequeñas Donaciones - Bolivia OP6,Bolivia,493234,190629
126781,Response to COVID-19 Pandemic,"This proposal will support the immediate response to COVID-19 and will lay the foundations for early recovery and future resilience through evidence, policy options and reinforced systems",Tunisia,493200,111605
116379,Improving Quality Investment (PEA Lao PDR)),Improving Quality Investment for Achieving Sustainable Development Goals in Lao PDR (or Improving Quality Investment Project),Lao People's Democratic Republ,493050,149593
84575,URU/16/G32 Espacios de coordinación de las Convenciones,"El objetivo del proyecto es desarrollar mecanismos innovadores para el incremento de los beneficios ambientales y el crecimiento sostenible en Uruguay, generando sinergias con las tres Convenciones de Río.",Uruguay,492977,295502
